ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status
1762174391.326953,C113UD3RWaMFXRxEH7,192.168.7.101,51983,13.107.6.158,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,turing-writingassistance.edge.microsoft.com,F,-,-,T,CjiICs,-,-,-,-
1762174274.517842,CFBaHt3T80W6FtJBPb,192.168.7.101,60545,184.51.252.33,443,-,-,-,www.bing.com,F,-,-,F,C,-,-,-,-
1762174421.725302,C7Jclp1EJoCbPuu2Eg,192.168.7.101,51984,184.51.88.42,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,secp256r1,catalog.gamepass.com,F,-,h2,T,CsxuknGIti,"4501e8644d431476ce44a70e702647a2fb4d374c5ff9fa374e38de955bb6563b,be23414a42e74886e7c72a861ba2ddda0175ed829223d894c5d272651fc0c189",(empty),T,ok
1762174443.370618,Cqz5hi4keK0FftrPu7,192.168.7.101,61073,87.119.18.28,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,static.deepseek.com,T,-,-,T,CsiI,-,-,-,-
1762174502.460142,CdJulQ2UIwO2Mx2QAg,192.168.7.101,61649,216.58.206.54,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i.ytimg.com,T,-,-,T,CsiI,-,-,-,-
1762174502.493375,C68doZxze64duk2Xb,192.168.7.101,56590,216.58.206.46,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i1.ytimg.com,T,-,-,T,CsiI,-,-,-,-
1762174502.494014,CZ102k1T7zHSRBLWlh,192.168.7.101,60526,216.58.206.46,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i1.ytimg.com,F,-,-,F,Csi,-,-,-,-
1762174502.493762,Cxm97HfmQI9BMr3El,192.168.7.101,49641,216.58.206.46,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i1.ytimg.com,T,-,-,F,Csi,-,-,-,-
1762174527.336106,C4FVYxbtP5l5ywofe,192.168.7.101,50638,194.124.204.71,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,s.deepl.com,F,-,-,T,CsiI,-,-,-,-
1762174583.974504,Czy7zU93ogSyH0qAl,192.168.7.101,54711,173.194.221.94,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,ssl.gstatic.com,T,-,-,T,CsiI,-,-,-,-
1762174597.580321,CZMIhz3tbVWJ4G0dq6,192.168.7.101,51055,13.107.6.158,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,turing-writingassistance.edge.microsoft.com,F,-,-,T,CjiICs,-,-,-,-
1762174613.089650,C6gpeL2dzA8x3vz0Ni,192.168.7.101,63206,172.67.201.151,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,sponsor.ajay.app,T,-,-,T,CsiI,-,-,-,-
1762174614.447093,CtaO5Q1xzhnaU5oSQ2,192.168.7.101,60684,172.67.146.99,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,returnyoutubedislikeapi.com,T,-,-,T,CsiI,-,-,-,-
1762174619.193303,CWnfFU1owbcjYSrIl,192.168.7.101,64243,173.194.0.198,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,rr1---sn-25glenlr.googlevideo.com,F,-,-,T,CsiI,-,-,-,-
1762174620.479396,CXnbOxMCtSeiWXjJ8,192.168.7.101,56255,216.24.57.7,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,rust-server-531j.onrender.com,T,-,-,T,CsiI,-,-,-,-
