ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size
1762171909.781667,FZ1Zu03JvSLITGMFl1,CdofFQ3FAJNSgd2wN7,192.168.7.101,50318,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,152,152,0,0,F,-,bbb61fd288a096e09728fb7a0ebd70b5,1e6aeb93f36353b19efb1dc128288caed1291fee,-,-,-,-
1762171950.170691,FjamFoT3OE7r7pRaa,CGfB343kyhQvV8bnD5,192.168.7.101,50321,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,288,288,0,0,F,-,c6cffd54e195b9740e67a7422e3e236d,4e3d5f9e9346203f22c7ccdc45f2e757b160919f,-,-,-,-
1762171950.280395,FrTFLx27CPtXx9nY34,CGfB343kyhQvV8bnD5,192.168.7.101,50321,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,104,104,0,0,F,-,a8a292b251a99340e10ec841a4797fd0,78c10ddc6502c9c13edb80f24be5f52d17d550bc,-,-,-,-
1762172010.270577,FCN3JM3hVjRYRPNW73,CtoAfl1mYgweyRp3ak,192.168.7.101,52157,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,200,200,0,0,F,-,f12f41e9f87dfe063caf07664c448ea4,fd14a6f9412098dbf3cb80545a6563d1580eb94b,-,-,-,-
1762172010.317884,F8pxbqGuOsCxxfpl5,CtoAfl1mYgweyRp3ak,192.168.7.101,52157,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,204,204,0,0,F,-,9c703c1331e0ddc3027ab29f6003f638,3806c2542344ef386c104221e4cd4c311681f175,-,-,-,-
1762172021.742360,F8gNjh43mKqVvBet69,CPyqN32SbHuRqac9Q9,192.168.7.101,52158,184.51.88.75,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1046,-,0,0,F,-,b2cdc565660cc6d3015349896bcad81f,f23611e8065b7f46a94b53ae43146ad85c7909ed,-,-,-,-
1762172321.730962,FMxRqf4wEjmgS7CJYd,CAh31B4ggs48Xkijnj,192.168.7.101,55139,23.73.2.151,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1049,-,0,0,F,-,1044e44a92cbdb87dfbe86a0319a9c3c,384e76d8145dacd6a3b34d3f5fa0d099d2e3d104,-,-,-,-
1762172462.979624,F817Mc4IMy2fxr5I52,ClofMk2MiNwBwiTdM5,192.168.7.101,51113,149.154.167.151,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,108,108,0,0,F,-,89a37f87d452767de34cdb875fa65612,b485f3467f5cc9258501449dcf56da13d1140dd7,-,-,-,-
1762172463.079098,FVoWFl3rAFgpSrtBVd,ClofMk2MiNwBwiTdM5,192.168.7.101,51113,149.154.167.151,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,148,148,0,0,F,-,636a50ca47cafe63be30b92cd09cb55e,96d37e7be02aabbd3c9da40debe2a60d44012cee,-,-,-,-
1762172621.990201,FNNQGP3j3rzQMSOv2k,CRNIHu3Dp8uTdaoM5,192.168.7.101,54389,184.51.88.81,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1048,-,0,0,F,-,40933ea0adf13957b3ef7938a8e42e6f,6089c38550c5a81870d71ff17c3eafc26c355cbd,-,-,-,-
1762172622.177308,FhDjsX2PcqKGCcZWTe,C3uyyH2iIS88hUAhUl,192.168.7.101,54391,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,204,204,0,0,F,-,b67c30165bbd43e3361207db84645830,d538f963588694bec25cbbf006ee5fa41c0febba,-,-,-,-
1762172622.227400,FnyaSY1DBPBdZBWSGa,C3uyyH2iIS88hUAhUl,192.168.7.101,54391,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,104,104,0,0,F,-,2f22c4fd21d746fd643d8f6a5b19f2fb,3238008ce956be5f2f5bd659ac200e6c554a499a,-,-,-,-
1762172720.696484,F2dzeB2U553ij6d1s5,Cj3TnohksM2cj4tj7,192.168.7.101,57663,149.154.167.41,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,56,56,0,0,F,-,2831c1d13604fa9305176fba3e089ae4,f8f46bbabec6c0202f0034156354662ccfee6a45,-,-,-,-
1762172720.793982,FvbGLi17FNdktAKb74,Cj3TnohksM2cj4tj7,192.168.7.101,57663,149.154.167.41,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,180,180,0,0,F,-,da1b05ede59c3e82f61ce90c791c14aa,0d0a657e54644e767572cbac4df99b36ec9375de,-,-,-,-
1762172726.660403,FL4cU4HorJQnBO1W3,CPO9UhzpG7PS7P2H7,192.168.7.101,50688,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762172765.169945,F0z6kf3FshHPN7Ykoe,C8HU0s4eZqzqqlzlB5,192.168.7.101,63063,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,44,44,0,0,F,-,b88c3f7b14b7bc47c44d93e72a049f6e,6c900600d621a54401df16a1303df8f74e3b0432,-,-,-,-
1762172765.217433,FKTFTb2VnPHo9Hyz1,C8HU0s4eZqzqqlzlB5,192.168.7.101,63063,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,128,128,0,0,F,-,ffc27f80a4eb68a67bce8c7cfbac8fe8,289ad6fa139f5625d26ecceeeefa6dfc9750b981,-,-,-,-
1762172921.832659,FKQuOl1IVUyzyYyqBg,CYSapz3p0LGPll0Clf,192.168.7.101,53958,95.101.78.65,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1048,-,0,0,F,-,9d88c6c930bc995ed1f65059029c629c,4252ad4bcd5fe2da928f15ed00aaed4479c60972,-,-,-,-
1762173006.868696,F7dGftj62rzaGabDd,Csypsm3bfKvlzhyDme,192.168.7.101,62698,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,164,164,0,0,F,-,eebd3c1047e44773a100993c9831a799,33cf490c557f59360e423f36e8068bff58bbb1d9,-,-,-,-
1762173006.967581,FDUh1u1CMG1rz8n1l3,Csypsm3bfKvlzhyDme,192.168.7.101,62698,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,152,152,0,0,F,-,5419fb42e2888bf3443cba3a8400c918,b170d661df0d0385ea0ac4974524570c13511c4f,-,-,-,-
1762173123.356483,FhU5hJ2ROg14GC8Jzf,Cs4duL3AzK7GeKQvi5,192.168.7.101,61829,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,128,128,0,0,F,-,47578030f81382284dae35ebaa2d19b1,f2a10f897b5d4d293d8bbc937dee744de42b558b,-,-,-,-
1762173123.356483,Fsx7V1Vx54oYoezB1,CxsAHQSTReWvYdyn9,192.168.7.101,61830,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,124,124,0,0,F,-,a10652d8ba2845ec556c232e2a90eb56,c81369022304d22c6fb5c6c2d46db03d90c3023a,-,-,-,-
1762173123.454666,FZXEAd1hjwfFUUoBM6,Cs4duL3AzK7GeKQvi5,192.168.7.101,61829,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,140,140,0,0,F,-,c9730e23c059e90765df051f69063bb2,eb279afeaadcde6dcd81c062d9434a14ca15f3f4,-,-,-,-
1762173123.454666,FkZ8x1uSTODd4jLn9,CxsAHQSTReWvYdyn9,192.168.7.101,61830,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,160,160,0,0,F,-,50111ca9800a6b2bb59380ff2b39b4b9,e65e992ad8fbc9370e54b05a905731f16e9a51ef,-,-,-,-
1762173139.801899,FY9o1v1RDnoVSjVJJe,COI0Ag1t7twJzkOtS,192.168.7.101,61831,48.209.180.244,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,ce81f01ea778c8699e0314d62e062c75,55024f957ac687f5e889fcbcb4fd4edac13693cb,-,-,-,-
1762173162.132192,F5ny78mEq6Ttw3atg,CaIx652ThTAjxq8RXe,192.168.7.101,60730,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,564,-,0,0,F,-,5da4c1420f84ec727d1b6bdd0d46e62e,280d08d142f7386283f420444ec48e1cdbfd61bb,-,-,-,-
1762173175.419895,FOOvDD1AySl2350myk,CXm09E4JAcsSxsE4K2,192.168.7.101,50467,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762173222.270104,FfWHQT1RyogJbtsAOh,CsWVzt3252S5ghjjfe,192.168.7.101,59040,23.213.161.25,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1046,-,0,0,F,-,72ec9a5f85c85d97d984ad5321c4b409,7b9f7768eb143a216f04f5a77587bb3f536ca7c0,-,-,-,-
1762173288.281174,FEDdYWuQhUJAGeKc1,Cqcufq2LmAQJDaYJ7b,192.168.7.101,59042,149.154.167.41,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,148,148,0,0,F,-,3ec88f48a58711b8374e1804a194d002,0040c1bd1bf92a71ac7dfa30c3da840f7d0b1dd4,-,-,-,-
1762173288.379491,FIlZ3C31n3XLQvWOl7,Cqcufq2LmAQJDaYJ7b,192.168.7.101,59042,149.154.167.41,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,136,136,0,0,F,-,d569d49f290dd795e54893a91504e11d,2e1ea45d718013b59f565bf26751620ac092b800,-,-,-,-
1762173383.398198,F3djjf22DimXkeQMKj,CyHTqg8gjdSV3Mzod,192.168.7.101,61628,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,412,-,0,0,F,-,0d4d59e90535a6429292bba8793b1457,74273c5527aaad2326a3c47bee9b3f5679f79d73,-,-,-,-
